Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++ 2017 x86 Minimum Runtime - 14.10.25008
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual C++ Build Tools
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2010 Tools for Office Runtime (x64)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Devenv
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Devenv Resources
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Diagnostic Tools - amd64
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Diagnostic Tools - x86
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Performance Collection Tools
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Performance Collection Tools - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Preparation
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Profiling Tools
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Shell (Minimum)
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Shell (Minimum) Interop Assemblies
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Shell (Minimum) Resources
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 Team Explorer Language Pack - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 VsGraphics Helper Dependencies
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 XAML UI Designer
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2013 XAML UI Designer - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio 2017
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio Professional 2013
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio Professional 2013 - ENU
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio Professional 2013 with Update 4
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Visual Studio Setup Configuration
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Web Deploy 3.5
Date = 2017-04-01 ; user = Sony ; Software = Microsoft Word MUI (English) 2013
Date = 2017-04-01 ; user = Sony ; Software = Mono for Windows (x64)
Date = 2017-04-01 ; user = Sony ; Software = Mosquitto MQTT broker
Date = 2017-04-01 ; user = Sony ; Software = Mozilla Firefox 52.0.2 (x86 en-US)
Date = 2017-04-01 ; user = Sony ; Software = Mozilla Maintenance Service
Date = 2017-04-01 ; user = Sony ; Software = MySQL Installer - Community
Date = 2017-04-01 ; user = Sony ; Software = MySQL Server 5.6
Date = 2017-04-01 ; user = Sony ; Software = MySQL Workbench 6.3 CE
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA 3D Vision Driver 376.54
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA Control Panel 376.54
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA Display Container
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA Display Container LS
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA Graphics Driver 376.54
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA HD Audio Driver 1.3.34.17
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA Install Application
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA PhysX
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA PhysX System Software 9.10.0514
Date = 2017-04-01 ; user = Sony ; Software = NVIDIA Stereoscopic 3D Driver
Date = 2017-04-01 ; user = Sony ; Software = NetBeans IDE 8.2
Date = 2017-04-01 ; user = Sony ; Software = Node.js
Date = 2017-04-01 ; user = Sony ; Software = Norton Online Backup
Date = 2017-04-01 ; user = Sony ; Software = Notepad++ (64-bit x64)
Date = 2017-04-01 ; user = Sony ; Software = Open Watcom
Date = 2017-04-01 ; user = Sony ; Software = Open XML SDK 2.5 for Microsoft Office
